,type,isfood_encoded
47148,Lunch when at NON client site,1
47149,Parking,0
47150, Lunch,1
47151,Hotel I C,0
47152,Taxi,0
47153, miles travelled,0
47154,others ,0
47155,Petrol,0
47156,Airfare,0
47157,Hotel not deduct PIT,0
47158,Other Incidentals,0
47159,Train km ,0
47160, miles travelled,0
47161,Eve Meal re overnight stay,1
47162,Hotel,0
47163,Taxi,0
47164,Motorway Car park,0
47165,American express statement,0
47166,Other Tips non meals ,0
47167,Lunch when at NON client site,1
47168,Lunch when at NON client site,1
47169,Sundry,0
47170,Hotel domestic accomad ,0
47171,Hotel Accommodation,0
47172,Breakfast,1
47173,Other travel expenses,0
47174,Hotel abroad,0
47175, Meal allowance Paris,1
47176,Foreign Travel Local Convey ,0
47177,Motorway Car park,0
47178,Toll Fee Local ,0
47179,Rail,0
47180,Taxi,0
47181,Eve Meal late home after pm,1
47182, Meal allowance country,1
47183,Meals Business Or Travel,1
47184,Hotel domestic breakf etc,0
47185,Hotel,0
47186,Train km ,0
47187,Train,0
47188, Hotel except Paris Sophia,0
47189,Highway,0
47190,Taxi,0
47191,UK Per Diem,1
47192,Parking,0
47193,Meals for day trip,1
47194,Overseas Accomodation,0
47195,Rail,0
47196,Others ,0
47197,Meal Allowance Weekday ,1
47198,Onsite offsite support FB,0
47199, Parking,0
47200, Lunch,1
47201,Meals Business Or Travel,1
47202,Taxi ,0
47203,Car Parking Fee,0
47204,Per diem Lunch,1
47205,Total Per diem,1
47206,Entertainment Gift presents,0
47207, miles travelled,0
47208,Eve Meal re overnight stay,1
47209, miles travelled,0
47210,Parking Tolls Cong Charge,0
47211,Other Expenses Meals,0
47212,Hotel domestic accomad ,0
47213,Eve Meal re overnight stay,1
47215,Eve Meal re overnight stay,1
47216,Flight Ticket paid by company,0
47217,UK Per Diem,1
47218, Meal allowance country,1
47219, Lunch,1
47220,Employee Welfare,0
47221,Client Entertainment,0
47222,Motorway Car Park,0
47223,Taxis,0
47224,Taxis,0
47225,Gasoline,0
47226,UK Per Diem,1
47227, Meal allowance country,1
47228,Airfare,0
47229, Reception,1
47230,Meals Business Or Travel,1
47231,Entertainment with Tax invoice,0
47232,Hotel,0
47233,Airfare,0
47234,others ,0
47235,Parking,0
47236, miles travelled,0
47237,Lunch when at NON client site,1
47238,Parking Tolls Cong Charge,0
47239, miles travelled,0
47240,Staff Training,0
47241, Meal allowance country,1
47242,Meals for day trip,1
47243,Taxis,0
47244, Meal allowance country,1
47245,Lunch Abroad,1
47246,Lunch when at NON client site,1
47247,Local Travel Daily Allowance,0
47248,Hotel domestic accomad ,0
47249,DOMESTIC TRAVEL Taxi,0
47250, Lunch,1
47251,Meals Business Or Travel,1
47252,Other Expenses Others,0
47253,Airfare,0
47254, Parking,0
47255,Hotel,0
47256, miles travelled,0
47257,Lunch when at NON client site,1
47258,Taxi Domestic,0
47259, Mileage allowances BULL,0
47260,Taxis,0
47261, Hotel Paris Sophia,0
47262, Transports Subscription ,0
47263,Metropolitan public transport,0
47264,Petrol,0
47265,Taxi,0
47266,Client Entertainment Exps ,0
47267,Rail,0
47268,Personal Incidental Exp UK,0
47269,Parking Tolls Cong Charge,0
47270,Taxi,0
47271,Taxi,0
47272,Lunch when at NON client site,1
47273,Postage,0
47274, Toll,0
47275,Train km ,0
47276,Parking,0
47277, miles travelled,0
47278,Hotel Accommodation,0
47279,Hotel,0
47280,Entertainment Tip,0
47281,Rail,0
47282,Eve Meal late home after pm,1
47283, Lunch Drink VAT ,1
47284,Car Rental,0
47285, Meal allowance Paris,1
47286,Taxi,0
47288,Team building,0
47289, Transports Subscription ,0
47290,Per diem Dinner,1
47291, miles travelled,0
47292,Rail,0
47293,Entertainment Gift presents,0
47294,Car rent,0
47295,Water,1
47296,Personal Car,0
47297,Parking toll ferry client car,0
47298, Lunch,1
47299,Taxi No GST,0
47300, Meal allowance country,1
47301,Rail,0
47302,Eve Meal re overnight stay,1
47303,Train abroad,0
47304,Bus,0
47305, miles travelled,0
47306,Parking Tolls Cong Charge,0
47307,Rail,0
47308,Travel Exp,1
47309,Meals for day trip,1
47310,Travel Exp,1
47311,Late Sitting Conveyance,0
47312,Taxi,0
47313,Telephone Internet,0
47314,Hotel domestic breakf etc,0
47315, Lunch,1
47316, Meal allowance country,1
47317,Retirement Gifts,0
47319,Public Transport,0
47320,Lunch when at NON client site,1
47321,Lunch when at NON client site,1
47322,Public transporation,0
47323, miles travelled,0
47324,Taxi Local ,0
47325, Toll,0
47326,Lunch when at NON client site,1
47327,UK Per Diem,1
47328,Client Entertainment,0
47329,Conveyance Expenses,0
47330,Dom Trvl Other Exps w o bills,0
47331,Business meal,1
47332,Other services,0
47334,Meals for day trip,1
47335,Hotel domestic breakf etc,0
47336,Parking,0
47337,Hotel,0
47338, miles travelled,0
47339,Taxi,0
47340,Toll Fee Local ,0
47341,Meals Business Or Travel,1
47342,Underground,0
47343,Meals for day trip,1
47344,Hotel Accommodation,0
47345,UK Per Diem,1
47346,Health and Safety,0
47347, Meal allowance Paris,1
47348,Hotel,0
47349,Breakfast after overnight stay,1
47350,Motorway Car park,0
47351, Lunch,1
47352,Train km ,0
47353,Rail,0
47354,Taxis,0
47355,Others ,0
47357,Eve Meal re overnight stay,1
47358,Client Entertainment,0
47359,Meals Business Or Travel,1
47360,Lunch,1
47361,Taxis,0
47362,others ,0
47363,Parking Tolls Cong Charge,0
47365,others ,0
47366,Toll Fee Local ,0
47367,Hotel Accommodation,0
47368,Other Incidentals,0
47369,Meal Allowance Weekday ,1
47370,Hotel Accommodation,0
47371,Taxis,0
47372,Parking Tolls Cong Charge,0
47373,Breakfast left home pre am,1
47374,Urb transport bus tram metro ,0
47375,Car Parking Fee,0
47376,Rail,0
47377,Telephone Mobile,0
47378,Dinner invitation,0
47379,Internet Access,0
47380,Lunch when at NON client site,1
47381,Meals for day trip,1
47382,Meals Business Or Travel,1
47383,Parking Tolls Cong Charge,0
47384,Lunch when at NON client site,1
47385,Taxi,0
47386, miles travelled,0
47387,Taxi,0
47388,Taxi,0
47389,Breakfast left home pre am,1
47390,Standby allowance Accor FB,0
47391,Meal Allowance Weekday ,1
47392, Annex Per diem ,0
47393,Computer Supplies,0
47394,others ,0
47395,Taxi,0
47396,Tool,0
47397, Meal allowance country,1
47398,Other Expenses Meals,0
47399, Lunch,1
47400, Hotel except Paris Sophia,0
47401,UK Per Diem,1
47402,Others overseas claims ,0
47403, Lunch,1
47404, Parking,0
47405,Breakfast left home pre am,1
47406,Meals Business Or Travel,1
47407,Overseas Per Diem,0
47408,Train km ,0
47409,Taxi ,0
47410,Foreign Travel Local Convey ,0
47411, Lunch,1
47412, Mileage allowances BULL,0
47413,FOREIGN TRAVEL STAFF MEALS,0
47414,Hotel,0
47415,Parking toll ferry client car,0
47416,Meals for day trip,1
47417,Staff Ent Team Building,0
47418,Hotel domestic accomad ,0
47419,Stationary Postage Printing,0
47420,P age,0
47421,Meals Business Or Travel,1
47422,Hotel domestic accomad ,0
47423,Parking Tolls Cong Charge,0
47424, Lunch Drink VAT ,1
47425,Taxi,0
47426,Meals for day trip,1
47427,Taxi ,0
47428,Airfare,0
47429,Total Per diem,1
47430,Lunch,1
47431,ICT communication wired,0
47432,Rail,0
47433, Lunch,1
47434,Hotel domestic accomad ,0
47435,UK Per Diem,1
47436, Taxi,0
47437,Hotel,0
47438, Parking,0
47439, Lnch Dnnr Paris cumulated ,1
47440,Hotel F C,0
47441,Lunch when at NON client site,1
47442,Meals for day trip,1
47443,Parking toll ferry client car,0
47444,Parking Tolls Cong Charge,0
47445,Gift Expenses,0
47446,Taxis,0
47447, Parking,0
47448,Lunch when at NON client site,1
47449,Telephone Internet,0
47450,Airfare abroad,0
47451,Taxi,0
47452,Train km ,0
47453,Train km ,0
47454,Hotel domestic accomad ,0
47455,Train km ,0
47456,Parking Tolls Cong Charge,0
47457, Lunch,1
47458,Hotel Accommodation,0
47459, Lunch,1
47460,Taxi Local ,0
47461, Lunch,1
47462,Motorway Car park,0
47464,Underground,0
47465, Hotel Paris Sophia,0
47466, Transports Subscription ,0
47467,Others ,0
47468,Overseas Per Diem,0
47469,Retirement Gifts,0
47471,Taxis,0
47472, miles travelled,0
47473,Parking Tolls Cong Charge,0
47474,Lunch when at NON client site,1
47475, miles travelled,0
47476,Lunch when at NON client site,1
47477,Overseas Per Diem,0
47478,Parking Toll ERP,0
47479, miles travelled,0
47480, Meal allowance country,1
47481,Laundry,0
47482, Meal abroad,1
47484,Parking,0
47485,Personal Incidental Exp UK,0
47486,Sundry,0
47487,Lunch when at NON client site,1
47488,Meals Business Or Travel,1
47489,Telephone Internet,0
47490,Per diem Lunch,1
47491,Parking Toll ERP,0
47492,Hotel Accommodation,0
47493,Motorway Car park,0
47494,Lunch when at NON client site,1
47495,Staff Meals Lunch,1
47496,Train km ,0
47497,Personal Car,0
47498,Tool,0
47499,Parking fee,0
47500,Taxi,0
47501,Travel Exp,1
47502,Eve Meal re overnight stay,1
47503,Parking Tolls Cong Charge,0
47504,Taxi ,0
47505, Pers Internet Home work,0
47506,Lunch,1
47507,Car Rental,0
47508, Toll,0
47509,Rental car,0
47510,Employee Meal take away w VA,0
47511,Taxis,0
47512, Mileage allowances BULL,0
47513,Overseas Receipted Meals,1
47514,Meals for day trip,1
47515,Parking Tolls Cong Charge,0
47516,General Charges,0
47517,Public Transport,0
47518, Pers Internet Home work,0
47519, Transports Subscription ,0
47520, miles travelled,0
47521,Fuel For Rented Cars,0
47522,Taxi,0
47523,Parking,0
47524,UK Per Diem,1
47525,Breakfast after overnight stay,1
47526, Lunch,1
47527, miles travelled,0
47528,Taxis,0
47529, Annex Per diem ,0
47530,Meals for day trip,1
47531, miles travelled,0
47532, miles travelled,0
47533, Pers Internet On call,0
47534, Parking,0
47535,Hotel domestic accomad ,0
47536,Breakfast after overnight stay,1
47537,Parking fee,0
47538,Hotel domestic accomad ,0
47539,others ,0
47540,others ,0
47541, Lunch Drink VAT ,1
47542,Rail,0
47543,Hotel Accommodation,0
47544,Travel Exp,1
47545,Hotel,0
47546, miles travelled,0
47547,Personal Incidental Exp UK,0
47548,Meals for day trip,1
47549,Taxi abroad,0
47550, miles travelled,0
47551,Other Expenses Meals,0
47552,Car Parking Fee,0
47553,Lunch when at NON client site,1
47554,Breakfast left home pre am,1
47555, Toll,0
47556,Per diem Lunch,1
47557,Taxis,0
47559, miles travelled,0
47560, Lunch,1
47561, Mileage allowances BULL,0
47562,Taxi Local ,0
47563,others ,0
47564,Taxis,0
47565,Travel Exp,1
47566,Total Per diem,1
47567, miles travelled,0
47568,Hotel Accommodation,0
47569,Rail,0
47570,Total Per diem,1
47571,Rental Car GST,0
47572,Overseas Accomodation,0
47573,Lunch when at NON client site,1
47574,Per diem Lunch,1
47575, miles travelled,0
47576,Eve Meal re overnight stay,1
47577,Standby allowance Accor FB,0
47578, miles travelled,0
47579,Parking,0
47580,Airfare AIT Company paid,0
47581,Meals for day trip,1
47582,Underground,0
47583, Lunch Drink VAT ,1
47584,Taxis,0
47586,Personal Car,0
47587,Train km ,0
47588,Airfare,0
47589, miles travelled,0
47590,Internet GST,0
47591,Taxi,0
47592,Per diem Dinner,1
47593,Taxi,0
47594,Hotel Accommodation,0
47595,Parking Tolls Cong Charge,0
47596,Hotel Accommodation,0
47597,Personal Incidental Exp UK,0
47598, miles travelled,0
47599,Telephone Internet,0
47600,Train km ,0
47601,Meals Business Or Travel,1
47602,Taxi,0
47603, miles travelled,0
47604, Lunch,1
47605, Lunch,1
47606,Bus,0
47608,Phone charge,0
47609,Taxi Local ,0
47610,Rail,0
47612,Meals Business Or Travel,1
47613,Underground,0
47614,Taxi ,0
47615,Lunch when at NON client site,1
47616,Rail,0
47617,Parking ERP,0
47618,Hotel Lodging,0
47619,Mobility Allowance Expense,0
47620,MRT LRT,0
47621,Hotel abroad,0
47622,Others ,0
47623,Meals for day trip,1
47624,Rail,0
47625,Hotel,0
47626,Hotel Accommodation,0
47627,Toll Fee Local ,0
47628,Meals Employee Function,1
47629,Hotel Accommodation,0
47630,Breakfast after overnight stay,1
47631,DOMESTIC TRAVEL Taxi,0
47632, Breakfast,1
47633,others ,0
47634,Hotel Accommodation,0
47635,Per diem Dinner,1
47636,Taxi,0
47637,Others abroad,0
47638,Hotel domestic accomad ,0
47639,Other Per Diem,0
47640,Metropolitan public transport,0
47641,Lunch when at NON client site,1
47642, Lunch,1
47643,Rail,0
47644, Train,0
47646, Lunch,1
47647,Taxis,0
47648,Lodging incl breakfast,0
47649,Overseas Per Diem,0
47650, Meal allowance country,1
47651,Taxi,0
47652, miles travelled,0
47653, Lunch,1
47654,Gasoline,0
47655,Parking toll ferry own car,0
47656,Hotel,0
47657,Train km ,0
47658,Entertainment NON UK client Emp,0
47659,Travel Exp,1
47660,Telephone Internet,0
47661,Taxi Local ,0
47662,Business meal,1
47663,Transport,0
47664,Travel Exp,1
47665,Lunch when at NON client site,1
47666, miles travelled,0
47667,others ,0
47669,Hotel,0
47670, Mileage allowances BULL,0
47671,Parking Tolls Cong Charge,0
47672,Lunch when at NON client site,1
47673,Hotel domestic breakf etc,0
47674,Staying with Friends Relatives,0
47675,Taxi,0
47676,Rail,0
47677, Dinner Drink VAT ,1
47678,Taxis,0
47679,Parking Tolls Cong Charge,0
47680,Train km ,0
47681, miles travelled,0
47682, miles travelled,0
47683, Mileage allowances BULL,0
47684,Plane,0
47685,Underground,0
47686,Taxi,0
47687, Pers Internet Home work,0
47688,Travel Exp,1
47689,Meals Business Or Travel,1
47690,UK Per Diem,1
47691, Transports Subscription ,0
47692,Taxi,0
47693,Airfare,0
47694,Employee Welfare,0
47695,Parking,0
47696,Meals Business Or Travel,1
47697, Transports Subscription ,0
47698,Urb transport bus tram metro ,0
47699, Lunch,1
47700, miles travelled,0
47701,Train km ,0
47702, Meal allowance country,1
47703,Parking Toll ERP,0
47704, miles travelled,0
47705, Gas,0
47706,Taxis,0
47707,Meals for day trip,1
47709,Hotel domestic accomad ,0
47710, Meal allowance country,1
47711,Underground,0
47712,Entertainment Gift presents,0
47713,Meals for day trip,1
47714,Parking Tolls Cong Charge,0
47715,Car Rental,0
47716,Taxis,0
47717,Train,0
47718,Parking fee,0
47719, Parking,0
47720,FOREIGN TRAVEL PUBLIC Trnsp,0
47721,Underground,0
47722,Train km ,0
47723,Telephone Mobile,0
47724, miles travelled,0
47725,UK Per Diem,1
47726,Production support Accor FB,0
47727,Meals Business Or Travel,1
47728,Training Staff Cert Reimb,0
47729,Parking Tolls Cong Charge,0
47730,Rental car,0
47731,Rail,0
47732, Lnch Dnnr Cntry cumulated ,1
47733,Other Training Expenses,0
47734, miles travelled,0
47735,Parking Tolls Cong Charge,0
47736,Hotel Accommodation,0
47737,Taxi Local ,0
47738, Transports occasional ,0
47739, Transports occasional ,0
47740,Subway,0
47741, Meal allowance Paris,1
47742,Meals Business Or Travel,1
47743, miles travelled,0
47744,Client Entertainment,0
47745,Taxi,0
47747,Rail,0
47748,Train km ,0
47749,Train ,0
47750, miles travelled,0
47751, Mileage allowances BULL,0
47752,Transportation,0
47753, Pers Internet Home work,0
47754, Lunch,1
47755,others ,0
47756,Rail,0
47757,Overseas Per Diem,0
47758,Taxis,0
47759,Train km ,0
47760,Train km ,0
47761, miles travelled,0
47762,Taxis,0
47763,Public Transport,0
47764,Train,0
47765, Reception,1
47766,Meals Business Or Travel,1
47767,Taxi,0
47768, Hotel abroad,0
47769,Hotel Accommodation,0
47770,Tool,0
47771,Transportation,0
47772,Lunch when at NON client site,1
47773,Per diem Lunch,1
47774, miles travelled,0
47775,Taxis,0
47776,Personal Incidental Exp UK,0
47777, miles travelled,0
47778,Other Internet Access,0
47779,Lunch when at NON client site,1
47780,Rail,0
47781,others ,0
47782,Hotel domestic breakf etc,0
47783, Move accompanying measures,0
47784, miles travelled,0
47785, miles travelled,0
47786,Underground,0
47787,Travel Exp,1
47788,Personal Incidental Exp UK,0
47789,Lodging excl breakfast,0
47790, Housing allowance country,0
47791,Breakfast after overnight stay,1
47792,Hotel F C,0
47793,Rental car,0
47794,Taxis,0
47796,Train,0
47797,Rail,0
47798,Underground,0
47799, Meal allowance country,1
47800,Parking Tolls Cong Charge,0
47801,Taxi,0
47802,Other Expenses Others,0
47803,Taxi Travelled KMs,0
47804,Parking Tolls Cong Charge,0
47805,Benefits ,0
47806,Gasoline,0
47807,UK Per Diem,1
47808,Airfare,0
47809,Meals for day trip,1
47810,Underground,0
47811, miles travelled,0
47812, miles travelled,0
47813,Rail,0
47815,Entertainment food drink,0
47816,Taxi,0
47817, Lunch,1
47818,Subscription Publications,0
47819, Dinner Paris,1
47820,Taxi,0
47822, miles travelled,0
47823,Toll,0
47824, months taxable income,0
47825,Hotel domestic accomad ,0
47826, miles travelled,0
47827,Personal Car,0
47828,Onsite offsite support FB,0
47829, miles travelled,0
47831,Hotel domestic accomad ,0
47832,Overseas Per Diem,0
47833,Total Per diem,1
47834, Parking,0
47835,Taxi,0
47836,Total Per diem,1
47837,Total Per diem,1
47838,Meals for day trip,1
47839, Lunch,1
47840,Meals for day trip,1
47841, Lunch,1
47842,Hotel,0
47843,Meal allowance OT FB,1
47844, miles travelled,0
47845,Lunch when at NON client site,1
47846,Parking Toll ERP,0
47847,Internet Access,0
47848,Rail,0
47849,Business meal,1
47850, Transports occasional ,0
47851,Meals Business Or Travel,1
47852,Foreign Travel Outfit Allow ,0
47853,Meals for day trip,1
47854,Staff welfare,0
47855,Meals Business Or Travel,1
47856, Lunch,1
47857, Meal allowance Paris,1
47858,Rental car,0
47859,Transport,0
47861, Breakfast,1
47862,Conveyance Expenses,0
47863,Motorway Car park,0
47864,UK Per Diem,1
47865,Taxi,0
47866, Meal allowance Paris,1
47868, Meal allowance country,1
47869, miles travelled,0
47870,Toll Fee Local ,0
47871, Small equipment,0
47872,Metropolitan public transport,0
47873,Hotel,0
47874, Pers Internet Home work,0
47875,Taxi Local ,0
47876,Hotel Accommodation,0
47877,Gasoline,0
47878, Meal allowance country,1
47879,Meals for day trip,1
47880,Hotel domestic accomad ,0
47881, Mileage allowances BULL,0
47882,Onsite offsite support FB,0
47883, Parking,0
47884,Meals Business Or Travel,1
47885,Hotel Accommodation,0
47886,Taxi,0
47887,Lunch when at NON client site,1
47888, Parking,0
47889,Train km ,0
47890, Car rental,0
47891,others ,0
47892,Taxi ,0
47893,Train abroad,0
47894, miles travelled,0
47895,Others,0
47896, miles travelled,0
47897,Personal Incidental Exp UK,0
47898, miles travelled,0
47899,Parking Toll ERP,0
47900,Taxis,0
47901,Parking Tolls Cong Charge,0
47902, Meal allowance Paris,1
47903,Rental car,0
47904, miles travelled,0
47905,Taxis,0
47906,Hotel Accommodation,0
47907,FOREIGN OTHER EXPENSE,0
47908,Phone charge,0
47909, miles travelled,0
47910, miles travelled,0
47911, Housing allowance country,0
47912,Hotel domestic breakf etc,0
47913,Taxi,0
47914,Long distance bus,0
47915,Hotel domestic breakf etc,0
47916, miles travelled,0
47917, Meal allowance country,1
47918, Meal allowance country,1
47919,Rail,0
47920,Fuel For rented cars,0
47921,Rail,0
47922, miles travelled,0
47923, Reception,1
47924,Other Incidentals,0
47925,Hotel domestic breakf etc,0
47926,UK Per Diem,1
47927,Metropolitan public transport,0
47928,Motorway Car park,0
47929,Airport shuttle bus,0
47930,ADSL Broadband internet conn,0
47931, miles travelled,0
47932,Travel Exp,1
47933,Other travel expenses,0
47934,Rail,0
47935,UK Per Diem,1
47936,Dinner invitation,0
47937,Training Other Exps,0
47938,Transportation,0
47939, Lunch,1
47942,Lunch when at NON client site,1
47943,Hotel abroad,0
47944,Meals Business Or Travel,1
47945,Meals Business Or Travel,1
47946, Meal allowance Paris,1
47947,Airfare,0
47948,Meal Allowance Weekday ,1
47949,Hotel domestic breakf etc,0
47950,Parking Toll ERP,0
47951,Hotel Accommodation,0
47952,Train km ,0
47953,others ,0
47954,Transportation,0
47955, Lunch,1
47956,Telephone ADSL,0
47957,Hotel Accommodation,0
47958, Transports Subscription ,0
47960,Hotel domestic breakf etc,0
47961,Telephone Mobile,0
47962,Hotel,0
47963,Taxis,0
47964,Overseas Per Diem,0
47965,Per diem Breakfast,1
47966,Other Expenses Seminar Events,0
47967,Hotel Lodging,0
47968,Rail,0
47969,Gasoline,0
47971,Other Expenses Others,0
47972,Meal allowance OT FB,1
47973, miles travelled,0
47974,Parking Tolls Cong Charge,0
47975,Hotel,0
47976,Parking Toll ERP,0
47977,Meals for day trip,1
47978, Meal allowance Paris,1
47979,Total Per diem,1
47980,Hotel domestic accomad ,0
47981,Parking,0
47982,Hotel domestic breakf etc,0
47983, Meal allowance Paris,1
47984,Taxis,0
47985, Transports occasional ,0
47986,Hotel domestic accomad ,0
47987, Lunch,1
47988, Reception,1
47989,Parking toll ferry client car,0
47990,Lunch,1
47991,Telepass,0
47992,Hotel domestic breakf etc,0
47993,Lunch when at NON client site,1
47994,Hotel,0
47995,Meals for day trip,1
47996, Toll,0
47998,Meals for day trip,1
47999,Taxi,0
48000,Train,0
48001,Breakfast left home pre am,1
48002,Eve Meal re overnight stay,1
48003, Lunch,1
48004, miles travelled,0
48005, Meal allowance Paris,1
48006,Parking Tolls Cong Charge,0
48007, Toll,0
48008,Taxi Travelled KMs,0
48010,Parking Tolls Cong Charge,0
48011, Mileage allowances BULL,0
48012, Lunch,1
48013,Telephone Internet,0
48014,Meals for day trip,1
48015,Taxis,0
48016,Train abroad,0
48017, miles travelled,0
48018,Employees meals,1
48019, miles travelled,0
48020,Meals for day trip,1
48021, miles travelled,0
48022,Taxi,0
48023, Lunch,1
48024,Eve Meal re overnight stay,1
48025,Meals for day trip,1
48026,Public Transport,0
48027,Staff Welfare Expenses,0
48028,Rail,0
48029,Other Travelling Exp Local ,0
48030,Hotel Accommodation,0
48031,others ,0
48032,Meals Business Or Travel,1
48033, Taxi,0
48034, Lunch,1
48035,Subscription Publications,0
48036,Breakfast after overnight stay,1
48037, Parking,0
48038,Eve Meal late home after pm,1
48039,UK Per Diem,1
48040,Taxi,0
48041,Car Rental,0
48042, miles travelled,0
48043,Hotel Accommodation,0
48044,Phone charge,0
48045,Per diem Breakfast,1
48046,Hotel abroad,0
48047,Hotel domestic breakf etc,0
48048, miles travelled,0
48049,UK Per Diem,1
48050,Accomodation,0
48051,Lunch Allowance,1
48052,Breakfast after overnight stay,1
48053,Parking Tolls Cong Charge,0
48054,Underground,0
48055,Client Entertainment,0
48056,Lunch Training Non client Site,1
48057,Phone charge,0
48058, Lunch,1
48059,UK Per Diem,1
48060,Overseas Per Diem,0
48061,Tram City public bus,0
48062,Public Transport domestic,0
48063, miles travelled,0
48064,Rail,0
48065,Meals Business Or Travel,1
48066, miles travelled,0
48067, miles travelled,0
48068,Conveyance Expenses,0
48069,Per diem Lunch,1
48070,Hotel,0
48071,Per diem Dinner,1
48072,Taxis,0
48073,Taxi Car Rental,0
48074,Travel Exp,1
48075, Toll,0
48076,Train km ,0
48077,Entertainment Tip,0
48078,Repre internal,0
48079,Sundry,0
48080,Parking Tolls Cong Charge,0
48081,Parking Tolls Cong Charge,0
48082, Dinner Drink VAT ,1
48083,Taxi Domestic,0
48084,Taxi Local ,0
48085,Underground,0
48086,Underground,0
48087, Lnch Dnnr Paris cumulated ,1
48088,Parking,0
48089,Parking,0
48090,Airport to Home,0
48091,Others entertainment,0
48092,Travel Exp,1
48093,Overseas Per Diem,0
48094,Meals for day trip,1
48095,Meals for day trip,1
48096,Airfare abroad,0
48097,Hotel domestic accomad ,0
48098,Hotel domestic breakf etc,0
48099, miles travelled,0
48100,Eve Meal re overnight stay,1
48101,Public Transport,0
48102,Meals Business Or Travel,1
48103,Dinner Max F C,1
48104,Rail,0
48105,Meals for day trip,1
48106,Other Per Diem,0
48107,Rail,0
48108,Other expenses,0
48109,UK Per Diem,1
48110, Breakfast,1
48111,Parking toll ferry own car,0
48112,Metropolitan public transport,0
48113,Metropolitan public transport,0
48114, Taxi,0
48115,Taxis,0
48116,Meals Business Or Travel,1
48117,Taxis,0
48118,Total Per diem,1
48119,Phone charge,0
48120,Dinner,1
48121,Rail,0
48122,Parking Tolls Cong Charge,0
48123,Meals for day trip,1
48124,Parking toll ferry client car,0
48125,DOMESTIC TRAVEL Taxi,0
48126,Car Rental Abroad,0
48127, miles travelled,0
48128,FOREIGN OTHER EXPENSE,0
48129,UK Per Diem,1
48130,Lunch when at NON client site,1
48131,Lunch Training Non client Site,1
48132,UK Per Diem,1
48133,Hotel domestic accomad ,0
48134,Meals for day trip,1
48135,Taxis,0
48137,Meals Business Or Travel,1
48138,Taxis,0
48139,Parking Tolls Cong Charge,0
48140,Rail,0
48141,Others ,0
48142, Dinner Paris,1
48143,Lunch when at NON client site,1
48144, Meal allowance Paris,1
48145,Lunch,1
48146, Dinner country,1
48147,Train,0
48148,UK Per Diem,1
48149,Gasoline,0
48150,Lunch when at NON client site,1
48151,Meals for day trip,1
48152, miles travelled,0
48153,Airfare abroad,0
48154,Parking toll ferry client car,0
48155,Per diem Lunch,1
48156,Other Tips non meals ,0
48157,Hotel domestic accomad ,0
48158,Taxi,0
48159,Parking,0
48160,UK Per Diem,1
48161,Hotel Accommodation,0
48162,others ,0
48163, miles travelled,0
48164,Meal allowance OT FB,1
48165,Lunch when at NON client site,1
48166,Foreign Trvl Visa Medi Chrgs,0
48167,Taxi Travelled KMs,0
48168,Rail,0
48169, Reception,1
48170,Telephone Internet,0
48171,Parking,0
48172,Hotel domestic accomad ,0
48173, Dinner country,1
48174,Meals Business Or Travel,1
48175, Reception,1
48176,Taxi,0
48177,Air Travel,0
48178, Transports occasional ,0
48179,Vignette,0
48180,Meals for day trip,1
48181, Hotel Paris Sophia,0
48182, Meal allowance Paris,1
48183,Underground,0
48184,Parking Tolls Cong Charge,0
48185,Motorway Car park,0
48186,Underground,0
48187,Underground,0
48188,others ,0
48189,Taxi Local ,0
48190, Dinner Drink VAT ,1
48191,Hotel F C,0
48192,Taxi,0
48193,Taxi,0
48194,Taxi,0
48195, Mileage allowances BULL,0
48196,Train km ,0
48197,others ,0
48198,Meals Business Or Travel,1
48199, Hotel Paris Sophia,0
48200,Taxi ,0
48201, miles travelled,0
48202,Hotel,0
48203,Entertainment Gift presents,0
48204,Parking toll ferry client car,0
48205, Taxi,0
48206,Lunch guests,1
48207,Parking Tolls Cong Charge,0
48208,Hotel domestic accomad ,0
48209, miles travelled,0
48210, miles travelled,0
48211,Taxi,0
48212,CO Panel Doc,0
48213, Meal allowance Paris,1
48214,Highway,0
48215,Train,0
48216,Entertainment,0
48217, Lunch,1
48219,Hotel,0
48220, Hotel Meal part,0
48221,Taxi Travelled KMs,0
48222,Other Expenses Meals,0
48223,Rail,0
48224,Per diem Dinner,1
48225,Train km ,0
48226,Rail,0
48227, miles travelled,0
48228,Other Expenses Meals,0
48229, Lnch Dnnr Cntry cumulated ,1
48230,Lunch,1
48231,UK Per Diem,1
48232,Meal allowance OT FB,1
48233, Hotel except Paris Sophia,0
48234,Per diem Lunch,1
48235,Public Transport,0
48236,Meals for day trip,1
48237, Reception,1
48238, Pers Internet Home work,0
48240,Parking,0
48241,Train ,0
48242,Train,0
48243,Foreign Travel Local Convey ,0
48244, Pers Internet Home work,0
48245,Taxi,0
48246, Parking,0
48247,Underground,0
48248,Motorway Car park,0
48249,Train,0
48250, miles travelled,0
48251,Lunch when at NON client site,1
48252,Taxis,0
48253, Hotel Paris Sophia,0
48254, Meal allowance country,1
48256,Hotel Lodging,0
48257,Meal Allowance Weekday ,1
48258,Breakfast after overnight stay,1
48259, Pers Internet Home work,0
48260,Hotel domestic breakf etc,0
48261,Taxi,0
48262, Lunch,1
48263, Transports occasional ,0
48264,Total Per diem,1
48265,Meals for day trip,1
48266, miles travelled,0
48267,Taxi Local ,0
